,Difference (|)
338,-116.58510682493981
339,-114.34725518989976
340,-111.54947174231863
341,-93.97540867181851
342,-103.37043200977925
343,-102.33563017096014
344,-108.73034345591805
345,-112.35740048980391
346,-108.34325181498964
347,-102.6889564007049
348,-102.55790582227654
349,-102.10679675283697
350,-100.45230516281572
351,-111.3737432122378
352,-108.02841211996206
353,-103.44783191973426
354,-99.51285474520759
355,-114.90779395716736
356,-119.27073933759371
357,-99.45538870268808
358,-99.49786570741757
359,-99.93159045999263
360,-110.77671524148782
361,-100.68018185841748
362,-108.69419141141164
363,-113.18855928389482
364,-101.27705025981975
365,-106.72891007215365
366,-103.30792678221059
367,-107.39411955562898
368,-90.11826077804298
369,-105.55946647038976
370,-114.58992724849085
371,-105.24812060782115
372,-101.8435864520537
373,-99.08338485117727
374,-105.21566159088242
375,-100.00803244290823
376,-115.00347212515325
377,-100.32139597514497
378,-97.0737034104735
379,-99.2441794689063
380,-85.4568069312708
381,-102.38553517362159
382,-88.96249168082676
383,-101.71284513094072
384,-100.1815824521687
385,-93.47356871035915
386,-95.9937292242041
387,-97.80513060390572
388,-100.61210807334844
389,-106.44366312990972
390,-116.2152040843291
391,-104.18114249310817
392,-98.05134837712559
393,-96.87737406279652
394,-95.32670868924929
395,-100.44657838291567
396,-102.59583552969524
397,-99.90549530873989
398,-98.03649743961584
399,-92.4156217078796
400,-104.53924586827907
401,-100.68284047365782
402,-107.13952622756587
403,-86.39239398138704
404,-106.38395236840198
405,-95.33827554909224
406,-89.14705199078178
407,-91.74704588584488
408,-102.75133018647337
409,-98.70555938668498
410,-91.98987583790255
411,-98.65073936417404
412,-84.10992312935245
413,-85.86770912779643
414,-102.08432856150642
415,-94.43696085149416
416,-87.69461067425458
417,-81.02076800958612
418,-87.06670934409803
419,-89.84569032735756
420,-102.57171869518596
421,-90.7582451031709
422,-87.69892519719689
423,-106.44676865779262
424,-95.43249907671287
425,-100.11643927009413
426,-79.02877760724827
427,-90.3127395357809
428,-91.98609760248105
429,-98.1566734991099
430,-85.12209593625857
431,-83.6752946957406
432,-89.51873879131713
433,-95.579453612306
434,-97.40783044009969
435,-98.29386865610047
436,-96.35882480891402
437,-98.49395274160935
438,-93.418571018128
439,-100.65363324626085
440,-88.8707029850728
441,-85.28112778865925
442,-83.01670736447616
443,-103.92234971222435
444,-86.91136379114225
445,-80.42459411902135
446,-85.15878175480125
447,-83.48168740251616
448,-78.57706951668673
449,-94.80540869612655
450,-95.65764524759588
451,-87.02057141652527
452,-89.3135407818735
453,-97.3426891242941
454,-86.76757849519939
455,-83.72890558779923
456,-85.80944254182192
457,-96.77815139115502
458,-87.3526504352795
459,-83.64923570250232
460,-80.36595074740173
461,-89.50785344553829
462,-82.20639241252128
463,-83.67006505943078
464,-83.8927045148232
465,-85.24148149940383
466,-84.72513901792718
467,-82.5751707010409
468,-95.71913902683099
469,-91.9954464436893
470,-71.33530905003191
471,-73.05466853056282
472,-80.58500017819689
473,-76.82824662523292
474,-86.89684702317042
475,-77.43252206419488
476,-88.859312800686
477,-78.92011863530799
478,-74.86864997201958
479,-77.25376047213594
480,-68.21123089079151
481,-72.08723285763604
482,-72.11600360639069
483,-61.01771150349911
484,-68.55191723267365
485,-77.58582451279918
486,-70.98399848379162
487,-71.54610147774868
488,-88.48918449819635
489,-88.92869345078704
490,-73.29314220201665
491,-83.59163637528268
492,-73.50918718095824
493,-69.5656941810207
494,-71.51187372851953
495,-71.4856395514336
496,-63.238260146365484
497,-73.12297866133453
498,-81.90411022632969
499,-82.62649454830967
500,-80.71207158639926
501,-63.663792157957175
502,-69.12660047031135
503,-64.05795535367791
504,-74.41188411031122
505,-75.27586105564511
506,-80.53510112486117
507,-78.9373222199403
508,-86.24884140977888
509,-80.66097983247225
510,-68.29765306110734
511,-73.36386875312479
512,-78.04152176130016
513,-74.40945683726054
514,-70.05574614422365
515,-76.0385953761906
516,-65.56185861273703
517,-68.80908342178545
518,-73.32187972540834
519,-69.50459319374541
520,-77.78259246023548
521,-81.37975145557937
522,-76.04301225585345
523,-81.99984303783354
524,-77.92830888803253
525,-77.59055262824991
526,-68.7989717216487
527,-69.92551295433002
528,-79.21743441783282
529,-75.39944619741607
530,-78.08472669115532
531,-59.51355625687877
532,-78.68168592730045
533,-68.46146909949148
534,-57.936002811273646
535,-61.53045424134046
536,-82.99871408714357
537,-67.55880317904123
538,-82.86791000660172
539,-71.97758423515877
540,-86.43892146533126
541,-67.73532850757091
542,-65.83290567012548
543,-62.92313880905312
544,-74.50021213569
545,-85.3113299385347
546,-63.86024586596973
547,-74.1734024948843
548,-69.39725236177374
549,-70.20449362335606
550,-74.51688924189082
551,-63.05323365959056
552,-63.890141147369604
553,-68.41462789093893
554,-70.85080719334373
555,-63.18590674105303
556,-63.3152673443621
557,-76.62533626591915
558,-75.87538382438277
559,-71.21811204280469
560,-83.92137032045314
561,-64.30324525387942
562,-81.23322119198724
563,-66.35733952939489
564,-74.33195051319206
565,-78.37375619731948
566,-61.76371712014613
567,-70.02002272227078
568,-84.63993388846204
569,-63.17448119255948
570,-75.55451326392851
571,-57.045301843014705
572,-75.34380105510414
573,-60.31697989520239
574,-66.65996612263622
575,-71.73675882716442
576,-68.75725681796327
577,-63.13387883583838
578,-58.28900770114943
579,-66.09937768126011
580,-77.10454317965714
581,-63.003565703941184
582,-70.92622761983289
583,-63.35984799423856
584,-71.30915545120105
585,-69.08230929862809
586,-62.13799005512589
587,-78.72640485752554
588,-62.40903363922559
589,-81.18515197512674
590,-60.46814021267241
591,-72.39222578047291
592,-64.0839473753145
593,-86.68436624024473
594,-57.69531797950573
595,-75.99287129658967
596,-91.33882786718026
597,-57.98574755938066
598,-57.42935710450467
599,-71.59021178655013
600,-68.17529922893652
601,-57.86853121410273
602,-67.614857747574
603,-64.3581211870018
604,-61.83765314393624
605,-57.81793375738005
606,-58.43487764316961
607,-74.18929622994892
608,-65.9234644591396
609,-65.38842982883494
610,-80.84858396731882
611,-78.58064088259495
612,-74.39894139304997
613,-76.71470717546853
614,-68.40763704541321
