,Difference (+)
1011,194.4662200278608
1012,28.60948707483931
1013,724.6885524348418
1014,42.15146335834644
1015,185.91531655621196
1016,63.40094497163069
1017,100.13133639238691
1018,55.22369664814826
1019,352.7788260332919
1020,19.529957912780397
1021,110.6590758357101
1022,85.05587693361518
1023,1049389.5413538357
1024,80.70059115450881
1025,23.293313302565164
1026,82.96106787549066
1027,240.51880312327012
1028,55.78262036458893
1029,19800.9779190402
1030,52.26783615253528
1031,8.120630016854607
1032,301.82690543067605
1033,75.07969623551578
1034,249.73191747771244
1035,312.45119674518594
1036,357.9403934931292
1037,83.15368170311689
1038,218.81365809266376
1039,48.456042259458236
1040,109.3899305989366
1041,585.8674530859001
1042,1867.6882221856315
1043,6.051610322222164
1044,1002.0754016648834
1045,548.2876972156527
1046,14.105593415703202
1047,118.98814226878858
1048,148.27930833687194
1049,81.24202372317062
1050,1623.391550777655
1051,101.20417888638866
1052,14.21655499368443
1053,1587.8070799851848
1054,35.0486318598955
1055,8.813970992782119
1056,30137.745238281634
1057,18.429380135753675
1058,85.20818684381274
1059,107.04238620917234
1060,675.043058766751
1061,2889.489808279032
1062,21.81395740227646
1063,35.01889042752824
1064,1956.9913574212314
1065,6382.596114492273
1066,58.77753535306784
1067,19.512631862045946
1068,364.51613070624404
1069,243.01604563026936
1070,179.94398502037728
1071,260.20722116471387
1072,22.8154627583053
1073,359.17923823248304
1074,3884.7468882383287
1075,2634.216231991943
1076,144.85278903317771
1077,138.57317834216656
1078,10402.429740846605
1079,16.151245695556206
1080,34.77514145881903
1081,62.973458157597896
1082,112.17174458050212
1083,1647.2753137574937
1084,46.17192610799037
1085,777.8813326546374
1086,18.345492982254484
1087,44.133483610981706
1088,211.52352323892202
1089,6015.577529440435
1090,54.913074468471905
1091,20.78673119776365
1092,70.88584918800824
1093,2538.768809790564
1094,68.69656906224546
1095,30.74049199799008
1096,16.29243113428547
1097,44.476321845187826
1098,1113.4392803836788
1099,366.0045624873704
1100,10.999148528619592
1101,42.9388332288007
1102,62.370734897354886
1103,2060.7512535249266
1104,85.53908585713795
1105,35.53789568203209
1106,394.8001519684921
1107,422.25716363869884
1108,184.36186450211386
1109,29.766288054760725
1110,126.6537844341618
1111,681.2398382261778
1112,59.63785685167031
1113,713.1319931716511
1114,154.7926328318882
1115,268.32180789015547
1116,31.350215403846075
1117,130.07573426077494
1118,41.398200788395634
1119,744.1261808819522
1120,10754.655353798062
1121,20.091473936529667
1122,34.14014463241637
1123,79.58874070235271
1124,198.68864761861644
1125,44.35372004926564
1126,13.124360268001608
1127,597.395518160023
