,Local (+)
881,203653870.46761778
882,191401032.61168918
883,205714553.91652554
884,374033496.907188
885,631737239.5664369
886,206162451.0688376
887,577250959.2780597
888,274487930.3727066
889,745289078.7151877
890,1544638040.40838
891,219550182.16504946
892,478019815.6420338
893,239355071.2257929
894,194281737.84364283
895,419248971.0350006
896,598237563.0736088
897,268729309.55355144
898,245222932.1877515
899,220502883.29619625
900,377351226.68527067
901,121617003.75742395
902,791572096.4527318
903,956894977.241471
904,495935090.5738813
905,488673453.72726613
906,1191862973.9055543
907,903972037.753714
908,1285639514.216098
909,666758081.5871776
910,740664702.1749978
911,237716087.25840434
912,754078081.597326
913,788184468.00767
914,913707320.6961477
915,349500268.7456201
916,1360215102.9391096
917,186851228.13478354
918,695316588.290094
919,64515718.232560515
920,499581658.4473282
921,155711596.69353926
922,846315699.9783275
923,196331043.65698335
924,169447086.0644728
925,93686093.36857435
926,1919746783.5294406
927,233751255.5977079
928,418100253.15785116
929,212619993.54129317
930,562774304.1975126
931,325705285.01165587
932,1140822842.576641
933,646969949.7294862
934,1058406555.0454513
935,514153644.1858647
936,1846560156.1798453
937,325106593.2613211
938,1319740459.1381536
939,186961510.44716337
940,111082661.22627345
941,1810126128.6456747
942,483504424.3448923
943,105845898.85413787
944,847349807.038734
945,448501541.1535343
946,1582167265.8190076
947,539397435.3716964
948,639232115.451021
949,192512174.76433653
950,524001098.5504795
951,293154159.8856526
952,1052100005.7066976
953,312013546.5529339
954,1118152435.8052716
955,407012685.7639803
956,1078847504.4228113
957,94661804.93936865
958,1438881157.8713565
959,1751697012.395599
960,1821586736.128282
961,269463894.95844007
962,250475778.64115506
963,521216693.3746358
964,775692461.5552045
965,599803821.1718732
966,1604018351.9282825
967,1521809748.0292172
968,718563699.4592352
969,839808947.1988989
970,879007502.5761874
971,1180446170.5374756
972,1731328387.9745934
973,401712961.1257124
974,571836120.7855446
975,616546884.5819757
976,1094497626.7384727
977,1278961990.8062086
978,839337786.133108
979,526844130.393137
980,835305316.8093268
981,974162991.7845378
982,1218454358.1026316
983,419556843.3226034
984,196519323.97472504
985,611925103.2038872
986,778289221.052791
987,197693477.16204247
988,633475417.8670975
989,497346986.8183479
990,1261664057.6156895
991,400825113.1971379
992,144964029.25040895
993,592998068.2753915
994,477366787.65438485
995,453059875.9203308
996,125922816.26252434
997,563075208.9659082
998,1806275355.724212
999,969207204.9102458
1000,166815610.56142262
1001,445317011.0587226
1002,519468006.4327004
1003,983353742.5934198
1004,1684453172.806977
1005,449623298.796792
1006,1678036479.5082717
1007,1611758152.2506926
1008,67294291.01511014
1009,466291769.8933449
1010,241755406.2642311
1011,391455228.80341655
1012,521768039.4478755
1013,1102220300.9748294
1014,1569185109.3351035
1015,930636020.7597698
1016,867895327.917692
1017,962605365.4247012
1018,632243672.2971582
1019,630016590.1726923
1020,528814855.28625864
1021,289431964.9340545
1022,207262980.6581698
1023,1561559929.7713935
1024,485714772.7480638
1025,1611379395.153672
1026,320630496.8586653
1027,235083775.78848776
1028,464447165.61188734
1029,553852346.6317624
1030,773309468.7358376
1031,221284759.23125768
1032,2923778147.135633
1033,407891696.940925
1034,235673420.09717044
1035,3351877809.8570013
1036,679613124.9152511
1037,1228404734.0441465
1038,175629410.92363143
1039,1179559079.0772185
1040,242210538.3044073
1041,585080713.5593266
1042,1514362098.929553
1043,207895815.1142797
1044,1658497536.8686395
1045,714046032.9117317
1046,1207910082.9203217
1047,2555794438.571627
1048,1294059723.5349536
1049,1661395980.156064
1050,814577705.9920958
1051,384773453.95250696
1052,1872066440.2470312
1053,770971597.0931176
1054,947907775.2758207
1055,2278915503.530105
1056,1669205638.4130142
1057,1009751492.7958566
1058,1618751809.0082362
1059,968638120.2597544
1060,1684947231.2469435
1061,150294727.20349568
1062,178836398.75096014
1063,1138717742.1484258
1064,283081584.3244719
1065,466247392.78705
1066,179774674.54306704
1067,559680402.3585861
1068,1272917041.1030025
1069,181874480.09792182
1070,448153392.6739154
1071,593518889.6809357
1072,563142455.6930674
1073,2756092500.2641234
1074,1578404811.002834
1075,1426705956.7047875
1076,948643292.244151
1077,806096202.5849413
1078,1652730557.4892745
1079,1580567540.0579004
1080,2482229946.5131397
1081,248332519.03913885
1082,491174756.3886242
1083,2124699996.7908375
1084,1248083319.049279
1085,762296939.9103028
1086,1055826233.0295254
1087,721911553.4379222
1088,1317566459.6511784
1089,3259806614.109581
1090,130097455.9647915
1091,2174813482.949605
1092,2153399485.0902815
1093,706141621.6722884
1094,605193558.8352528
1095,1342318350.685915
1096,1642691769.4364045
1097,1911073495.0692976
1098,301894535.0054149
1099,680990176.6224532
1100,599803688.5058508
1101,4079959892.313032
1102,830516235.8941052
1103,226363500.87152594
1104,252202843.6197829
1105,4219357564.3929706
1106,472084673.3793311
1107,489534301.40751487
1108,1130889079.6523342
1109,2850732457.48531
1110,1635162087.0071058
1111,1191490771.5839448
1112,2334302168.5151544
1113,3018281016.3173995
1114,1182508284.0499952
1115,559093808.62473
1116,592397218.1862389
1117,987630414.8037847
1118,1801261076.4791636
1119,2143161655.3551347
1120,118943969.34328921
1121,1151723374.7036033
1122,1025760569.8347174
1123,2024954954.8320816
1124,427218302.3155239
1125,1673233867.6965961
1126,1578678165.8351552
1127,1629346113.5238006
1128,630809608.5154597
1129,1340730944.9128466
1130,1182762095.3554008
1131,1138874512.043943
1132,361124909.5504902
1133,720862020.6210979
1134,1689967272.5750313
1135,1475664611.7988484
1136,1386979350.9982805
1137,1690065259.1834674
1138,2785465564.2998786
1139,1590479910.4662135
1140,1033205312.0832204
1141,2131947058.5011444
1142,4049813532.8859143
1143,1416756366.741408
1144,1290917259.720639
1145,310595060.2691493
1146,1684150392.8683474
1147,955611954.2448914
1148,890327572.4207504
1149,437293743.16993505
1150,2206884823.048904
1151,287290576.62590444
1152,2103823062.7425547
1153,396873896.4646714
1154,1912774044.3937068
1155,1123686179.4149742
1156,2222154907.0969296
1157,994325815.2694986
1158,1817872778.2366455
1159,1168677147.2974322
1160,3245673480.856578
1161,2010202715.6056216
1162,4032879991.781904
1163,3343897910.328811
1164,1001145073.9671953
1165,3697470194.0336304
1166,258212420.40031308
1167,1081259069.601489
1168,1525315039.4832602
1169,4662797410.427576
1170,1495474189.7186997
1171,1529710471.01062
1172,1432507286.9127357
1173,966987973.5866103
1174,1326783916.1284454
1175,556289450.7259859
1176,405190133.8180385
1177,375405967.8590201
1178,2074728658.4052324
1179,805591415.7106787
1180,1456645958.5973213
1181,698522690.381199
1182,583591890.9771808
1183,1468654732.3370864
1184,2222735838.772978
1185,2761899283.682688
1186,1180997944.2078736
1187,3851690946.7806973
1188,553749760.489288
1189,1542531417.0626726
1190,5010657728.686881
1191,1543219339.0292995
1192,2049608195.0390828
1193,2175451318.6773314
1194,957289618.987834
1195,1708488763.7422285
1196,4201937690.891989
1197,210286191.90859687
1198,1691706425.7444205
1199,600151682.8372833
1200,1637180145.1160934
1201,1882503271.1233914
1202,730031550.7614176
1203,750799028.7505993
1204,3187334575.1258473
1205,254616684.65285876
1206,1390930555.8980384
1207,448888329.30803376
1208,3074491702.68147
1209,461673225.31046736
1210,1446000836.8629403
1211,2734223805.350004
1212,3766481110.3904214
1213,4277524860.130692
1214,1960204666.200244
1215,1523711348.2271605
1216,1606536138.3057585
1217,1534297942.8388472
1218,1453175680.401041
1219,1991581064.9668984
1220,3564460918.792662
1221,3145270762.141279
1222,749634066.6191818
1223,3147428421.9488873
1224,1711022536.1647196
1225,706586294.7487992
1226,1113656421.456236
1227,5228931256.06982
1228,2575856661.7541137
1229,6454051951.537841
1230,716393812.6803105
1231,1870845674.1778972
1232,2970620279.088858
1233,1798005663.7690954
1234,1818610129.128648
1235,3588137061.2342315
1236,6800646141.648962
1237,3032918368.886756
1238,1578362594.6620445
1239,575500594.7614883
1240,1335966775.523365
1241,445735037.0484653
1242,3867482274.1901464
1243,1520274915.7691104
1244,1025477162.169589
1245,1424497686.0487897
1246,8168096548.558526
1247,1262444880.8603206
1248,957157530.2406673
1249,1328032008.7268586
1250,2995133168.87953
1251,2666206544.3545723
1252,4491727242.233201
1253,2067469458.325578
1254,1842086486.4026148
1255,1093792937.4038074
1256,1917021572.8040085
1257,144724059.5020798
1258,2895089020.4746675
1259,859823409.5056597
1260,1625295409.2569232
1261,897256043.7232443
1262,3565290215.4472857
1263,5300785778.908645
1264,2057777892.6652246
1265,1437258288.2990112
1266,5182768141.850805
1267,6127966069.655878
1268,2087611862.9141953
1269,1214965620.028382
1270,2204236778.179196
1271,3406819446.7915897
1272,4958267441.216501
1273,2582485997.5253463
1274,6904679075.769346
1275,2019590284.3655334
1276,436829985.1002187
1277,2723822657.596796
1278,1057860263.124126
1279,1289175531.940696
1280,1970675515.1872432
1281,3553862246.7860675
1282,981131169.0763524
1283,1667240211.3466096
1284,5689217435.435073
1285,3464443895.7099786
1286,3596122346.334153
1287,1581354778.219363
1288,2571903529.692523
1289,5610878723.39231
1290,2101591406.6727624
1291,4404999448.846214
1292,2685003895.6500936
1293,3188588401.515242
1294,2457215172.471445
1295,4048702162.006563
1296,2539428537.907254
1297,1039710007.4213536
1298,2312778963.806151
1299,911111700.5761216
1300,1511960444.8370678
1301,2057552983.2704852
1302,6633087723.500564
1303,1119555343.6777954
1304,1274763762.3118398
1305,1811601088.0638628
1306,4407734587.765029
1307,1774078689.9031096
1308,949416425.9095647
1309,5485566870.336986
1310,7039623700.793603
1311,2254478542.2923756
1312,3012073143.6288986
1313,2006721215.2106214
1314,2896358128.579223
1315,2019172246.1106648
1316,1802418245.1123376
1317,2138984681.2192135
1318,1528951003.6439755
