,Global (+)
716,23.29708491721305
717,1922.5672392772701
718,635.7982108441204
719,54.70314335150985
720,88.01610160648026
721,1158.1965571915011
722,479.74385806950346
723,60.728814994931625
724,33.480706087986576
725,28.31100881563253
726,181.41980071503173
727,15.201244668205362
728,101.77860152634857
729,49.65754042856115
730,61.516121900534436
731,138.09896466099843
732,2582.984508403183
733,110.80060323077902
734,32.29891480015228
735,86.10259815669981
736,17.996952063656284
737,111.22734478860932
738,20.683468245175934
739,85.82103721205677
740,118.19644533075272
741,23.736405854662646
742,71.7129801867275
743,111.4718005466191
744,2265.1010415048304
745,39.08870494452874
746,119.68769064153926
747,49.16784607814496
748,23.72346344372152
749,174.84041503492492
750,50.39149315349521
751,297.99699819937825
752,22.667050079283975
753,16.48067687787843
754,167.51216109433656
755,68.36339160191561
756,5511.337986993616
757,19.375158818394297
758,188.12922549790963
759,497.02089091939246
760,35.48522955575119
761,27.561309084623776
762,9.930915120435417
763,43.778027469612105
764,103.31105538721131
765,98.63854853887287
766,311.0310688445218
767,73.28067531135194
768,295.28469795132236
769,59.64558316580962
770,243.63548035345474
771,15.347144327611536
772,37.28680862885164
773,28.08371677585883
774,110.83148483164553
775,18.71151656702947
776,113.7270755222646
777,23.87614203223922
778,111.0978245218893
779,54.51365977853491
780,35.23764685822101
781,118.1460491299867
782,457.84685365406256
783,55.81917509835088
784,47.80839053685427
785,36.39231419451375
786,23.56412205554628
787,60.94409281620462
788,14.459187603490955
789,20.943960506589583
790,20.122445077963164
791,16.98302234290479
792,36.474285099991306
793,56.79267097162986
794,27.041943320737325
795,44.62007687706716
796,63.01085921976185
797,651.6119811542164
798,34.91016196638249
799,39.172228857595314
800,229.37551849181287
801,135.05685459235238
802,23.478460648584438
803,19.190768036038104
804,247.33366365814842
805,23.054266860759476
806,35.15250673493695
807,15.039934668316304
808,339.70940259226404
809,79.5145479629867
810,16.85515770788445
811,121.37340134128583
812,98.41146581467825
813,43.393464303208184
814,68.70492605478633
815,146.6677511459108
816,27.74333942381056
817,23.066134549713176
818,20.62945251088641
819,32.91601051696028
820,17.433433171246254
821,168.11348671102436
822,166.56609098130505
823,55.9342058553069
824,35.88916639820048
825,46.53888403022747
826,97.9414790386032
827,101.0264379119508
828,12.189809160586638
829,63.350433667501605
830,1344.5791332124563
831,1028.5500786098025
832,37.26315240288296
833,250.05178352951384
834,115.24410427628544
835,178.26141026514716
836,27.235958772794962
837,70.88316048579874
838,314.7115590914029
839,182.075145718792
840,110.93716499611989
841,7354.214420859357
842,203.5352890986604
843,89.25912274355417
844,152.14024672213614
845,298.5137235584873
846,119.1707575410045
847,31.45699570148517
848,22.27999782759173
849,23.115399973125125
850,391.789626143001
851,165.9632314616506
852,22.007182240471682
853,57.345303226771335
854,130.29250862088546
855,10696.500218908282
856,90.67090533120303
857,164.16177326650208
858,28.055581048462678
859,44.88873461842489
860,23.323261315322938
861,230.02954459711248
862,110.02625772278031
863,20.917424174646776
864,63.177690880007766
865,598.4061545878175
866,8052.085883674441
867,418.1594852743231
868,14.284029193438231
869,18.283187059634553
870,30.02508948328256
871,49.394104030021325
872,57.99524988235007
873,31.002147304319433
874,106.48894735873652
875,51.518011257216926
876,31.80452204808395
877,68.46901526776594
878,47.23417030979782
879,317.60203606342424
880,74.80204444445026
881,30.048860588103423
882,70.9333769178327
883,455.85157295382623
884,39.02107864777844
885,424.6677571894057
886,1316.9478732050784
887,27.799287675424665
888,62.50826898353388
889,107.06514733986039
890,1164.5996111854815
891,106.86424645275703
892,26.298943910032946
893,92.75089390631923
894,39.675583633670655
895,23.905449301425328
896,99.92780274802787
897,42.26697374400966
898,20.46095325747504
899,18.855681630835694
900,47.07660203955573
901,102.87996415764442
902,22.755794095668232
903,23.192732143524417
904,17.49626584235907
905,506.8509953374076
906,180.79859889157348
907,24.79340266652368
908,44.43142401798791
909,27.86143046405356
910,83.78236571226866
911,455.17623497064244
912,72.68645227882917
913,266.5498058486352
914,139.39702415531974
915,56.58757671749489
916,88.52854817619142
917,50.54496405970569
918,20.121429945936523
919,40.91761681012832
920,64.91485123225323
921,10.00615255297116
922,79.20436756746658
923,66.4528935038325
924,57.0811824475256
925,74.54833467857287
926,116.64572451179886
927,132.7770876732158
928,121.20431789784352
929,61.02397359794571
930,80.90202073800788
931,30.427020215997594
932,41.24290790579949
933,47.125193715622736
934,18.402037165937585
935,45.724491476886136
936,156.28589030279855
937,276.4049106440262
938,19.74663943580719
939,1496.8673472057703
940,258.62229829203216
941,38.25391081731821
942,37.25862835312922
943,50.00635916899217
944,347.8311539661335
945,23.2021945797792
946,300.69645866591463
947,44.50085058993799
948,64.95157934367037
949,122.56498697688004
950,37.85551351912695
951,131.9300019808425
952,252.33247627204648
953,14.70420961589014
954,26.91425890570595
955,93.04985069802022
956,440.8675347251514
957,344.3109545852623
958,39.5617696696311
959,432.49169338251227
