,Global
489,89335.47321663711
490,53548.41320071845
491,11645.882882974338
492,18012.236717483174
493,198047.4235527281
494,6241.901377579542
495,13612.513864751367
496,64367.50160052937
497,3718.4705385959955
498,37147.7901624261
499,7554.752431239035
500,159141.15582476128
501,26552.053813449576
502,30995.370361170062
503,23237.46703408823
504,106084.2201471067
505,17434.559439822136
506,120849.80741063911
507,47729.39577458809
508,376872.0517646342
509,14605.431572046798
510,16557.443476018732
511,209890.8050029312
512,76243.91254425827
513,27812.66012288216
514,4017.873790065336
515,554453.3011286333
516,5032.6292402018025
517,14541.367429753778
518,9267.548228861073
519,6278.621711820419
520,27655.83152669576
521,179683.4476430878
522,81724.95594285698
523,12235.945786611539
524,171468.93293546577
525,5345.694367065838
526,105854.00778047513
527,8818.74193168391
528,39093.89569528185
529,5617.563068821432
530,79762.33386620994
531,40163.099287851466
532,38588.16088280126
533,6654.265962095468
534,2290.060912456868
535,37073.709975497986
536,84371.5970516582
537,11920.9041366196
538,69168.86962037126
539,64349.44166970427
540,42036.85162133566
541,8978.88866100111
542,19265.52632160113
543,12842.244977065564
544,21319.8212055102
545,12126.650238146683
546,87445.58365070954
547,5828.978129977323
548,46344.983047714995
549,22255.748303201224
550,15513.071488640784
551,6237.757342808108
552,48610.815992442855
553,149542.5133493603
554,51842.05390329576
555,45740.361678682435
556,9370.612724476066
557,165999.52064791546
558,20943.700055623027
559,3508.128306732499
560,60320.53195682711
561,54209.48438497347
562,14183.905513893878
563,7947.4157475599695
564,6405.529881973782
565,5316.226505265649
566,22299.24378133799
567,35704.83416587614
568,26835.295237825823
569,45055.59223174155
570,9116.648321491306
571,10049.126220674938
572,41009.51764100729
573,7384.045058255742
574,6126.692284005938
575,2902.0796272269718
576,18329.660703146434
577,145229.09756474514
578,2154.3262053249687
579,145541.63947539352
580,12777.780856742367
581,6754.919209569567
582,58424.10964511556
583,8642.47494879395
584,10244.521515995646
585,4713.357978526381
586,119469.01296485227
587,482701.4702637576
588,189081.527669237
589,12332.586583286382
590,49222.34346510817
591,21473.724614684903
592,9946.757362067134
593,28375.529756304597
594,130720.0386373497
595,3435.446047788555
596,13851.570412562392
597,30558.55474680595
598,35275.08622645276
599,5043.2616514926285
600,21753.45331308264
601,23192.739897064243
602,61308.210732244814
603,5045.391813730325
604,7554.257635563459
605,111583.36299778719
606,2411.940400942106
607,18177.911203588294
608,12335.900218631932
609,16367.924503743961
610,9286.776117598287
611,14650.554485308274
612,34149.24682972635
613,51195.548637954416
614,46878.97826021138
615,22678.164658147667
616,5798.781588422327
617,17678.017674073817
618,5582.647988176519
619,15151.311053780259
620,21052.819102351816
621,56056.09531903916
622,283518.0668848783
623,21954.27871953162
624,23892.567592013165
625,10955.704410507095
626,13794.686857063141
627,13086.651818179533
628,15776.456851992869
629,85507.86869939257
630,11136.646477806118
631,1270528.4693521506
632,12217.352305459774
633,3201.2092172714806
634,71102.37363794116
635,12382.52395366435
636,281349.41389416734
637,3633.433784284097
638,26535.797231083376
639,430267.302592161
640,7550.534445782644
641,25329.43515572016
642,2557.765482384782
643,41324.50698247479
644,12547.071362165943
645,113559.35282107553
646,20516.08942040538
647,31402.8615425772
648,15490.88229155961
649,18128.179795244698
650,45637.27414788228
651,29033.235857642518
652,7237.154145463199
653,22476.77621774185
654,13848.708179405141
655,57298.76408424162
656,8684.548075799054
657,282981.6150941639
658,9099.992378647174
659,1443.8219123484616
660,91715.24043391773
661,44305.40864609123
662,7332.7221325091305
663,77922.61967713473
664,52620.09359335252
665,16468.305548617824
666,1864.900194588168
667,27270.44216140242
668,13292.088396253708
669,138419.74705582435
670,4511.741404060744
671,5314.266170804353
672,13340.915547606559
673,5336.6109324381105
674,13800.737840235799
675,129295.05821810412
676,43513.64701790458
677,16811.6005891338
678,34338.41748809189
679,38257.194813446884
680,224795.92265238226
681,2977.467168479368
682,164928.64077802448
683,5926.343583512465
684,339193.59755094425
685,5818.752351781967
686,31323.104593902422
687,134711.43040515788
688,36856.299464955206
689,3924.254985228231
690,23598.32301553043
691,7279.801501695249
692,139204.83191378546
693,8449.78061158085
694,20498.97078266781
695,14025.384744078094
696,16949.199068027534
697,161784.76013850205
698,101833.64177426595
699,4481.814146589087
700,45524.26346876567
701,90843.53913074368
702,14340.240984472717
703,416737.75406483066
704,13474.345448460834
705,15143.168478045694
706,72810.65604346368
707,46898.75340200195
708,5242.281981291266
709,142965.12370953985
710,31288.73850145841
711,112464.04821177054
712,7367.603197363864
713,11609.01282032162
714,27428.140571079228
715,101786.1944835159
716,17411.712731187545
717,6524.13005817037
718,7341.795988781489
719,18255.293793437966
720,96553.06304705492
721,4575.781985292379
722,173908.34882919805
723,34344.15666262115
724,19966.88800288302
725,22195.052517698965
726,22058.223669743096
727,20170.51902533876
728,23086.233258754528
729,6194.66834656169
730,2421.667485100144
731,4080.0818752121822
732,45521.67023928645
733,6956.868420833546
734,11498.84441949441
735,17014.950385530643
736,2878.4546486732966
737,40824.55813543531
738,4564.615737141707
739,11523.241353195566
740,7421.775381287615
741,2541.287969943553
742,47846.86450926959
743,27945.7499972512
744,8519.355250578163
745,55362.535472048665
746,14905.112872024372
747,26499.07869115922
748,19697.426155402893
749,38071.30879381636
750,74980.62064561325
751,9697.880473799802
752,112981.00933489444
753,3971.525723315233
754,51600.72317642112
755,117817.90288765168
756,19411.763052488102
757,17335.831535825797
758,71373.29646676687
759,24706.03377431965
760,30443.73018512507
761,9821.149004376774
762,40386.947108184366
763,17958.90763533845
764,4526.911627767889
765,21659.9816365724
766,451533.9403354408
767,16319.570032494907
768,8804.053851018321
769,52072.28460623592
770,70973.47553846902
771,122988.22651359941
772,65388.71530961953
773,288003.76766762685
774,32365.59867537851
775,8116.502672682314
776,18057.73766859113
777,17744.571806509764
778,14206.644064742886
779,8944.850596420678
780,13361.081394269893
781,12188.897840122001
782,55736.93068166322
783,120371.1763110084
784,17265.68280583704
785,24498.1532309695
786,310797.79367878236
787,27513.690020888724
788,71631.68749736313
789,82046.6353074725
790,68422.77704731867
791,197016.23829749064
792,37738.08389605604
793,14008.875024460815
794,4842.237587618161
795,3601.5806729396104
796,42629.30371562111
797,241964.61603889696
798,4911.467463329568
799,21617.34067813302
800,7005.584304314276
801,41740.86392835538
802,91557.98233964224
803,238903.14303311444
804,21901.419728292716
805,68481.47397640563
806,15205.901961783646
807,4837.410631156761
808,207451.71239104617
809,7588.446735011943
810,8925.968634743162
811,110701.1466671831
812,51137.00296439869
813,113028.21162703361
814,7868.249665059919
815,6341.278131931785
816,99302.45762338876
817,137010.88842403144
818,13806.810075792822
819,8540.519422844149
820,37437.07197654443
821,75502.76512668002
822,247675.5660187548
823,14028.50624090095
824,26323.29514619453
825,293507.17815000727
826,92781.10579365207
827,1205.9519914071343
828,47489.45934318045
829,43478.92947358296
830,3949.8745892881802
831,6407.583494406241
832,35190.653683841825
833,5636.064660431422
834,13544.345998059782
835,10477.878336491642
836,3702.2301709819153
837,15585.84332125535
838,3797.696337691896
839,4009.5803674131967
840,11161.77946881159
841,6996.5571010040785
842,11942.22872182049
843,11696.47680839108
844,12214.801020746809
845,24302.87203820037
846,8464.631861603588
847,53701.20768593593
848,229251.99838643975
849,82825.90974565296
850,16634.905209658187
851,21129.49841981394
852,61293.151324452236
853,682930.0305710606
854,1323.3689224501118
855,315349.3641085812
856,11306.977164932117
857,8158.623308871948
858,11193.77206451561
859,31118.656886270244
860,17214.910597973576
861,8800.526873755141
862,6209.018007678642
863,3161.2452841912886
864,4796.933763620749
865,16956.171585565477
866,59269.85023606148
867,2654.4494628990747
868,78276.22491215273
869,4547.693997779442
870,4798.025145719708
871,21908.941856507907
872,18393.262050046826
873,10948.994793536549
874,2584.4863566452464
875,48083.9672774522
876,13103.723991583945
877,1943.5232385292954
878,49240.70246848655
879,54314.46210486196
880,12313.758578012246
881,11326.098422501896
882,2619.3378034426864
883,7334.530062277728
884,85801.01013957114
885,31491.702318865275
886,21606.92354652738
887,7348.132406939725
888,7785.175000772001
889,17007.764608476147
890,84078.41037608792
891,11366.608148316505
892,4727.445391825544
893,4938.781834156044
894,6123.255700545126
895,5105.378542453247
896,6798.745006018695
897,15412.202790569092
898,5375.560027546372
899,18410.240878677065
900,3934.6059133244353
901,10185.244193696448
902,486104.0060213457
903,14899.025219157593
904,56780.91978110183
905,10281.317125722553
906,56391.23097435398
907,57259.56594220473
908,1894.6090181514746
909,7265.5414906012875
910,5205.0419299879495
911,6202.042072341911
912,5599.871128750545
913,2259.0183283854667
914,21036.586264477784
915,11415.023045424341
916,12222.971229354267
917,3139.639233131546
918,14621.848762741485
919,79878.5866913957
920,5864.943870226515
921,14350.904257400296
922,17660.670633999474
923,3616.291561185216
924,54844.24108209371
925,14688.962914430069
926,5889.323673727571
927,4277.629076762291
928,8321.35460064043
929,174201.39778671254
930,13771.377665869559
931,24142.178540638335
932,18224.771163965455
933,3277.796099330818
934,58816.59626648326
935,3962.6223372479126
936,36661.88906560179
937,43476.63864313054
938,46167.642850170516
939,48628.14760876419
940,1665.420688271292
941,68808.2681799353
942,5707.4889216166
943,18590.57792959461
944,9648.53746002929
945,4514.584034108671
946,11414.524010446547
947,31001.299516116742
948,15174.349276970663
949,62393.30019002092
950,12417.471559312122
951,6674.427241084075
952,93233.52140446911
953,2503.5347148941123
954,27842.443786185668
955,9522.818012098209
956,280980.9478574701
957,85086.72311510483
958,64141.09825151752
959,14784.451553556026
960,418273.79413804575
961,196676.61410272625
962,3027.835954735094
963,15083.644029222392
964,26520.55227921465
965,13941.047505476898
966,6715.858986300165
